x,y,ang_contr,pdoa,imu_x_g,imu_y_g,imu_z_g
4.476754,3.536195,166.075,-8.76,-0.0195,0.125,-0.1653
4.532811,3.318357,164.299,-8.4,-0.0195,0.125,-0.1653
4.528084,3.332691,164.4386,-8.4,-0.0195,0.125,-0.1653
4.511495,3.396916,164.9796,-8.4,-0.0195,0.125,-0.1653
4.585701,3.099188,162.3567,-8.4,-0.0195,0.125,-0.1653
4.574644,2.966187,161.8103,-7.26,-0.0195,0.125,-0.1653
4.59794,2.845649,160.6747,-7.26,-0.0195,0.125,-0.1653
4.561389,3.028401,162.3876,-7.26,-0.0195,0.125,-0.1653
4.573123,2.966537,161.8388,-7.26,-0.0195,0.125,-0.1653
4.575663,2.953384,161.7188,-8.4,-0.0195,0.125,-0.1653
4.564107,3.01299,162.2562,-8.4,-0.0078,0.1172,-0.1655
4.539321,3.143201,163.3616,-8.4,-0.0078,0.1172,-0.1655
4.538286,3.148845,163.4071,-8.4,-0.0078,0.1172,-0.1655
4.539321,3.143201,163.3616,-9.74,-0.0078,0.1172,-0.1655
4.31199,3.550477,168.6607,-9.74,-0.0078,0.1172,-0.1655
4.319552,3.516635,168.4361,-9.74,-0.0078,0.1172,-0.1655
4.331856,3.462749,168.0661,-9.86,-0.0078,0.1172,-0.1655
4.332126,3.461586,168.0579,-9.86,-0.0078,0.1172,-0.1655
4.332222,3.461177,168.055,-9.86,-0.0078,0.1172,-0.1655
4.370041,3.545682,167.7469,-9.86,-0.0078,0.1172,-0.1655
4.378941,3.507723,167.4798,-9.11,-0.0078,0.1172,-0.1655
4.399472,3.422232,166.8509,-9.11,-0.0078,0.1172,-0.1655
4.384223,3.485374,167.3194,-9.11,-0.0078,0.1172,-0.1655
4.362575,3.576862,167.9649,-8.126,-0.0078,0.1172,-0.1655
4.394969,3.430423,166.9525,-8.126,-0.0078,0.1172,-0.1655
4.37076,3.531527,167.6882,-8.126,-0.0078,0.1172,-0.1655
