x,y,ang_contr,pdoa,imu_x_g,imu_y_g,imu_z_g
4.046331,2.484234,169.8146,-8.98,-0.0195,0.1406,-0.1647
4.121827,1.858879,164.3194,-12.1,-0.0195,0.1406,-0.1647
4.115326,1.885704,164.7154,-12.1,-0.0195,0.1406,-0.1647
4.082225,2.135884,167.2775,-12.1,-0.0195,0.1406,-0.1647
4.005779,2.733981,171.5578,-15.74,-0.0195,0.1406,-0.1647
4.013148,2.662926,171.181,-15.74,-0.0195,0.1406,-0.1647
4.024231,2.568449,170.6211,-15.74,-0.0195,0.1406,-0.1647
4.068663,2.195211,167.9487,-10.6,-0.0195,0.1406,-0.1647
3.843389,4.111335,176.6121,-10.6,-0.0195,0.1406,-0.1647
3.988124,2.001304,169.0246,-10.6,-0.0195,0.1406,-0.1647
4.015651,1.775046,166.8209,-10.6,-0.0195,0.1406,-0.1647
3.925837,2.50457,172.5876,-14.78,-0.0352,0.1367,-0.1646
3.969336,2.112112,170.0812,-14.78,-0.0352,0.1367,-0.1646
3.882831,2.848018,174.3287,-14.78,-0.0352,0.1367,-0.1646
3.95962,2.081738,170.1989,-14.78,-0.0352,0.1367,-0.1646
3.875323,2.805006,174.3941,-10.112,-0.0352,0.1367,-0.1646
4.032832,1.303111,161.626,-10.112,-0.0352,0.1367,-0.1646
3.958617,1.93745,169.5134,-10.112,-0.0352,0.1367,-0.1646
4.027718,1.35384,162.4672,-10.112,-0.0352,0.1367,-0.1646
3.836058,3.020293,175.531,-13.78,-0.0352,0.1367,-0.1646
3.791642,2.918242,176.2428,-13.78,-0.0352,0.1367,-0.1646
3.836347,2.423433,174.4298,-15.32,-0.0352,0.1367,-0.1646
3.785744,2.840258,176.2584,-15.32,-0.0352,0.1367,-0.1646
3.721216,3.559144,178.0494,-15.32,-0.0352,0.1367,-0.1646
3.624761,4.888795,179.7098,-14.38,-0.0352,0.1367,-0.1646
3.640535,4.599088,179.495,-14.38,-0.0352,0.1367,-0.1646
3.929446,-1.760318,10.6004,-14.38,-0.0352,0.1367,-0.1646
3.973147,-1.378089,15.1508,-14.38,-0.0352,0.1367,-0.1646
3.896299,-2.04743,8.2345,-17.104,-0.0352,0.1367,-0.1646
3.80721,-2.871719,4.1271,-17.104,-0.0352,0.1367,-0.1646
3.837874,-2.538041,5.3543,-17.104,-0.0352,0.1367,-0.1646
3.86085,-2.30667,6.4519,-17.104,-0.0352,0.1367,-0.1646
3.91182,-1.814655,9.7502,-11.22,-0.0352,0.1367,-0.1646
3.928325,-1.667606,11.1382,-11.22,-0.0352,0.1367,-0.1646
3.923012,-1.714373,10.6702,-11.22,-0.0352,0.1367,-0.1646
3.824827,-2.595254,4.9512,-11.22,-0.0234,0.1289,-0.1646
3.835764,-2.482878,5.4243,-12.6,-0.0234,0.1289,-0.1646
3.815083,-2.690959,4.5698,-12.6,-0.0234,0.1289,-0.1646
3.805413,-2.792535,4.207,-9.4,-0.0234,0.1289,-0.1646
3.780707,-3.062346,3.3771,-9.4,-0.0234,0.1289,-0.1646
3.828947,-2.5003,5.2319,-9.4,-0.0234,0.1289,-0.1646
