x,y,ang_contr,pdoa,imu_x_g,imu_y_g,imu_z_g
6.052837,4.203954,149.7382,135.8,0.0625,0.1172,-0.1606
6.252709,3.557601,143.2901,77.6,0.0586,0.2891,-0.1607
6.215071,3.655249,144.419,77.6,0.0586,0.2891,-0.1607
6.281911,3.475681,142.3454,77.6,0.0586,0.2891,-0.1607
6.201468,3.678899,144.7346,79.14,0.0586,0.2891,-0.1607
6.161809,3.786413,145.9185,79.14,0.0586,0.2891,-0.1607
6.115584,4.005311,147.8686,77.3,-0.0312,0.1992,-0.1608
6.104815,4.037377,148.1843,77.3,-0.0312,0.1992,-0.1608
6.059998,4.172245,149.476,77.3,-0.0312,0.1992,-0.1608
6.124213,3.892072,147.0345,73.5,-0.0312,0.1992,-0.1608
6.114655,3.91986,147.3192,73.5,-0.0312,0.1992,-0.1608
6.077652,4.028447,148.4069,73.5,-0.0312,0.1992,-0.1608
6.106371,3.941253,147.5464,73.5,-0.0312,0.1992,-0.1608
6.15535,3.796429,146.0558,75.2,-0.0312,0.1992,-0.1608
6.077575,4.019898,148.3533,75.2,-0.0312,0.1992,-0.1608
6.094301,3.969201,147.8542,75.2,-0.0312,0.1992,-0.1608
6.125721,3.875423,146.9066,74.104,-0.0312,0.1992,-0.1608
6.127533,3.869772,146.8495,74.104,-0.0312,0.1992,-0.1608
6.105218,3.934315,147.5126,74.104,-0.0312,0.1992,-0.1608
6.087944,3.985315,148.0244,72.56,-0.0312,0.1992,-0.1608
6.096249,3.960401,147.7767,72.56,-0.0312,0.1992,-0.1608
6.088177,3.984429,148.0162,72.56,-0.0312,0.1992,-0.1608
6.095667,3.961965,147.7929,72.56,-0.0312,0.1992,-0.1608
6.062244,4.061538,148.7743,68.52,-0.0312,0.1992,-0.1608
6.065395,4.051859,148.6812,68.52,-0.0312,0.1992,-0.1608
6.062244,4.061538,148.7743,62.56,-0.0781,0.2031,-0.1608
5.280432,3.457211,154.0772,62.56,-0.0781,0.2031,-0.1608
5.229471,3.458215,154.7707,62.56,-0.0781,0.2031,-0.1608
5.069969,3.49447,157.1857,62.56,-0.0781,0.2031,-0.1608
5.032475,3.596967,158.2853,58.1,-0.0781,0.2031,-0.1608
5.025517,3.616857,158.489,58.1,-0.0781,0.2031,-0.1608
5.046244,3.549256,157.8302,58.1,-0.0781,0.2031,-0.1608
5.058306,3.515358,157.4694,58.1,-0.0781,0.2031,-0.1608
4.904026,3.850095,161.2888,39.18,-0.0664,0.1328,-0.1608
4.8889,3.91823,161.7914,35.92,-0.0547,0.1328,-0.1609
4.595553,2.242396,156.0603,35.92,-0.0547,0.1328,-0.1609
4.582886,2.203328,155.9588,35.2,-0.0078,0.207,-0.1609
4.55914,2.189223,156.3409,35.2,-0.0078,0.207,-0.1609
4.599047,1.843675,151.5477,38.3,0.0078,0.1406,-0.1609
4.572876,2.019431,154.2772,38.62,0.0078,0.1406,-0.1609
4.547245,2.190288,156.6127,38.62,0.0078,0.1406,-0.1609
4.597668,1.910067,152.421,38.62,0.0078,0.1406,-0.1609
4.632162,1.657352,148.0863,39.4,0.0078,0.1406,-0.1609
4.623683,1.721641,149.2644,39.4,0.0078,0.1406,-0.1609
4.627712,1.691458,148.7176,39.4,0.0078,0.1406,-0.1609
4.634449,1.640715,147.7691,39.4,0.0078,0.1406,-0.1609
4.610054,1.826185,151.0532,37.122,0.0078,0.1406,-0.1609
4.589964,1.974157,153.368,37.122,0.0078,0.1406,-0.1609
4.526952,2.325783,158.27,37.122,0.0078,0.1406,-0.1609
4.533725,2.280275,157.7319,37.122,0.0078,0.1406,-0.1609
4.548316,2.182495,156.5146,37.68,0.0078,0.1406,-0.1609
4.541337,2.228799,157.1032,37.68,0.0078,0.1406,-0.1609
4.512547,2.421178,159.3485,37.68,0.0078,0.1406,-0.1609
4.546008,2.194904,156.6839,34.1,-0.0742,0.0898,-0.1609
4.549724,2.170064,156.3635,34.1,-0.0742,0.0898,-0.1609
4.543037,2.214545,156.9339,34.1,-0.0742,0.0898,-0.1609
4.461958,2.756227,162.6339,31.4,-0.0742,0.0898,-0.1609
4.418202,3.061915,165.039,31.4,-0.0742,0.0898,-0.1609
4.426436,3.001883,164.6074,31.4,-0.0742,0.0898,-0.1609
4.398022,3.207265,166.0276,31.4,-0.0742,0.0898,-0.1609
4.408947,3.125693,165.4899,28.48,-0.0742,0.0898,-0.1609
4.395292,3.226273,166.1524,28.48,-0.0742,0.0898,-0.1609
4.398873,3.19945,165.9804,28.48,-0.0742,0.0898,-0.1609
4.395292,3.226273,166.1524,28.48,-0.0742,0.0898,-0.1609
4.408514,3.542364,167.143,25.6,-0.0742,0.0898,-0.1609
4.384936,3.638315,167.8255,25.6,-0.0742,0.0898,-0.1609
4.396265,3.587434,167.4855,25.6,-0.0742,0.0898,-0.1609
4.389649,3.616345,167.6825,21.3,-0.0742,0.0898,-0.1609
4.411055,3.278554,166.105,4.56,0.0352,0.2227,-0.1609
4.470547,2.817254,162.8286,4.56,0.0352,0.2227,-0.1609
4.307455,3.982442,169.9269,-3.82,0.0352,0.2227,-0.1609
4.248896,4.313213,171.4444,-3.82,0.0352,0.2227,-0.1609
4.249309,4.310539,171.4338,-6.2,0.0352,0.2227,-0.1609
4.248896,4.313213,171.4444,-6.2,0.0352,0.2227,-0.1609
3.970637,3.573782,174.079,-6.2,0.0352,0.2227,-0.1609
4.005426,3.361182,173.1222,-6.2,-0.0547,0.1875,-0.1609
4.015157,3.305104,172.8405,-8.22,-0.0547,0.1875,-0.1609
4.013719,3.313297,172.8825,-8.22,-0.0547,0.1875,-0.1609
4.026528,3.23822,172.4964,-8.22,-0.0547,0.1875,-0.1609
4.035031,3.065097,171.9219,-5.38,-0.0547,0.1875,-0.1609
4.0433,3.006119,171.6113,-5.38,-0.0547,0.1875,-0.1609
4.058681,2.905281,171.0283,-5.38,-0.0547,0.1875,-0.1609
3.988604,3.458864,173.5897,-3.108,-0.0547,0.1875,-0.1609
3.993155,3.428097,173.4576,-3.108,-0.0547,0.1875,-0.1609
3.984766,3.484011,173.6979,-1.0,-0.0547,0.1875,-0.1609
3.991332,3.438735,173.5076,-1.0,-0.0547,0.1875,-0.1609
3.968627,3.57368,174.1107,-1.0,-0.0547,0.1875,-0.1609
3.982875,3.469971,173.7035,-1.0,-0.0547,0.1875,-0.1609
3.994824,3.386822,173.3507,-1.124,-0.0547,0.1875,-0.1609
4.033459,3.094346,172.0258,-1.124,-0.0547,0.1875,-0.1609
4.035527,3.081895,171.9563,-1.124,-0.0547,0.1875,-0.1609
4.038657,3.063168,171.8504,-1.66,-0.0625,0.1367,-0.161
4.022314,3.160058,172.388,-1.66,-0.0625,0.1367,-0.161
4.056386,2.947259,171.1976,-1.66,-0.0625,0.1367,-0.161
4.045277,3.01031,171.586,-1.66,-0.0625,0.1367,-0.161
3.993149,3.426627,173.4549,-3.102,-0.0625,0.1367,-0.161
3.801743,2.579799,175.5285,-3.7,-0.0625,0.1367,-0.161
4.0433,3.006119,171.6113,-3.7,-0.0625,0.1367,-0.161
3.698984,2.746444,177.9359,-2.22,-0.0625,0.1367,-0.161
3.727195,2.623068,177.2238,-2.22,-0.0625,0.1367,-0.161
3.726472,2.339924,176.9062,-2.22,-0.0625,0.1367,-0.161
3.723977,2.375388,177.0123,-2.22,-0.0625,0.1367,-0.161
12.698064,1.438381,98.984,-3.2,-0.0273,0.1328,-0.1608
13.520648,3.807372,110.9959,-3.2,-0.0273,0.1328,-0.1608
13.556023,3.932805,111.5549,-3.74,-0.0273,0.1328,-0.1608
13.887849,3.680953,109.687,-3.74,-0.0273,0.1328,-0.1608
13.622501,3.880572,111.1657,-3.74,-0.0273,0.1328,-0.1608
13.530352,3.950365,111.693,-3.74,-0.0273,0.1328,-0.1608
13.884646,3.681387,109.6948,-4.106,-0.0273,0.1328,-0.1608
13.884646,3.681387,109.6948,-4.106,-0.0273,0.1328,-0.1608
4.027859,2.391804,169.8579,-4.106,-0.0273,0.1328,-0.1608
4.075609,2.352139,168.5688,-2.62,-0.0273,0.1328,-0.1608
3.960331,2.447844,171.626,-2.62,-0.0273,0.1328,-0.1608
3.751984,2.975959,177.0764,-2.62,-0.0273,0.1328,-0.1608
3.440233,3.23139,-2.8305,-2.94,-0.0273,0.1328,-0.1608
3.325479,3.326144,-4.7182,-2.94,-0.0273,0.1328,-0.1608
