x,y,ang_contr,pdoa,imu_x_g,imu_y_g,imu_z_g
0.008248,0.787436,-77.6344,153.18,-0.0391,0.1484,-0.164
0.028492,0.73351,-78.3941,153.18,-0.0391,0.1484,-0.164
-0.043516,0.926802,-75.7283,153.18,-0.0391,0.1484,-0.164
-0.026646,0.867943,-76.5409,153.18,-0.0391,0.1484,-0.164
0.005234,0.861998,-76.5155,153.18,-0.0391,0.1484,-0.164
0.00962,0.841652,-76.807,153.28,-0.0391,0.1484,-0.164
0.006944,0.764336,-77.9907,153.28,-0.0391,0.1484,-0.164
0.039921,0.776917,-77.6893,152.54,-0.0391,0.1484,-0.164
0.022587,0.757456,-78.0452,152.54,-0.0391,0.1484,-0.164
0.013817,0.774344,-77.8155,152.54,-0.0391,0.1484,-0.164
0.072024,0.791768,-77.3509,152.54,-0.0391,0.1484,-0.164
0.071286,0.770379,-77.6846,152.54,-0.0391,0.1484,-0.164
0.072024,0.791768,-77.3509,153.36,-0.0391,0.1484,-0.164
0.002055,0.793206,-77.5674,153.36,-0.0391,0.1484,-0.164
0.065867,0.713474,-78.5865,153.36,-0.0391,0.1484,-0.164
0.060183,0.781373,-77.5522,153.46,-0.0391,0.1484,-0.164
0.013964,0.751735,-78.1606,153.46,-0.0391,0.1484,-0.164
0.007367,0.733268,-78.4642,153.46,-0.0391,0.1484,-0.164
-0.027186,0.795108,-77.6359,153.46,-0.0391,0.1484,-0.164
-0.027577,0.815442,-77.3311,153.1,-0.0391,0.1484,-0.164
-0.027186,0.795108,-77.6359,153.1,-0.0391,0.1484,-0.164
-0.085968,0.746539,-78.5505,153.1,-0.0391,0.1484,-0.164
-0.063375,0.710141,-79.0293,153.1,-0.0391,0.1484,-0.164
-0.105743,0.77532,-78.183,152.24,-0.0391,0.1484,-0.164
-0.08871,0.818762,-77.4853,152.24,0.0977,0.1562,-0.1639
-0.069944,0.864801,-76.7405,154.22,0.0977,0.1562,-0.1639
-0.044675,0.905087,-76.0538,154.22,0.0977,0.1562,-0.1639
0.004579,0.830072,-76.9999,154.22,0.0977,0.1562,-0.1639
0.003236,0.731685,-78.5013,154.22,0.0977,0.1562,-0.1639
0.004579,0.830072,-76.9999,156.116,0.0977,0.1562,-0.1639
0.192024,1.037446,-73.0689,156.116,0.0977,0.1562,-0.1639
0.165991,1.212719,-70.5493,156.116,0.0977,0.1562,-0.1639
0.164645,1.27036,-69.7061,158.58,0.0977,0.1562,-0.1639
0.165991,1.212719,-70.5493,158.58,0.0977,0.1562,-0.1639
0.342867,1.155892,-70.4612,158.58,0.0977,0.1562,-0.1639
0.295905,1.315008,-68.2978,158.58,0.0977,0.1562,-0.1639
0.514151,1.275237,-67.547,158.58,0.0977,0.1562,-0.1639
0.51314,1.122103,-70.0233,159.56,0.0977,0.1562,-0.1639
0.545415,1.319273,-66.6405,159.56,0.0977,0.1562,-0.1639
0.554422,1.204733,-68.4178,159.56,0.0977,0.1562,-0.1639
