x,y,ang_contr,pdoa,imu_x_g,imu_y_g,imu_z_g
6.818218,2.900827,132.0308,-73.38,-0.0938,0.2227,-0.1645
6.864661,2.847249,131.0931,-73.38,-0.0938,0.2227,-0.1645
6.895867,2.813142,130.482,-73.38,-0.0938,0.2227,-0.1645
6.867068,2.842661,131.0264,-75.116,-0.0938,0.2227,-0.1645
6.86405,2.84604,131.0863,-75.116,-0.0938,0.2227,-0.1645
6.810217,2.906313,132.1556,-75.116,-0.0938,0.2227,-0.1645
6.926579,2.767086,129.7541,-75.116,-0.0938,0.2227,-0.1645
7.017917,2.67209,128.0179,-46.38,-0.0938,0.2227,-0.1645
6.981001,2.708588,128.6989,-46.38,-0.0938,0.2227,-0.1645
7.001371,2.687127,128.3092,-46.38,-0.0938,0.2227,-0.1645
6.948205,2.74161,129.3116,-46.38,-0.0938,0.2227,-0.1645
6.856107,2.842448,131.1196,-137.102,-0.0938,0.2227,-0.1645
6.737095,2.988626,133.6116,-137.102,-0.0938,0.2227,-0.1645
7.178898,2.385865,123.6893,-137.102,-0.0938,0.2227,-0.1645
6.891437,2.645791,128.7937,-137.102,-0.0938,0.2227,-0.1645
7.496696,1.638627,112.8076,-137.102,-0.0938,0.2227,-0.1645
7.298662,1.810592,116.083,71.106,-0.0938,0.2227,-0.1645
6.68572,2.51933,129.2298,71.106,-0.0938,0.2227,-0.1645
7.018314,1.872846,118.7177,2.74,-0.0938,0.2227,-0.1645
6.960263,1.945239,120.0663,2.74,-0.0938,0.2227,-0.1645
6.89886,2.026183,121.5585,150.36,-0.0938,0.2227,-0.1645
6.87699,2.056733,122.1136,150.36,-0.0938,0.2227,-0.1645
6.899719,2.024323,121.5284,150.36,-0.0938,0.2227,-0.1645
6.775705,2.197272,124.6794,150.36,-0.0938,0.2227,-0.1645
6.76322,2.216769,125.0226,134.68,-0.0938,0.2227,-0.1645
6.998762,1.845247,118.4983,134.68,-0.0938,0.2227,-0.1645
6.883709,1.988371,121.196,134.68,-0.0938,0.2227,-0.1645
6.837012,2.053208,122.3866,134.68,-0.0938,0.2227,-0.1645
